Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Quebec (50,62)",Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",265.46,223.92,219.07,224.94,215.01,217.54,195.61,209.94,210.17,230.16,231.15,243.42,254.37,225.17,306.07,262.18,246.78,238.73
"Ontario (7,67)",Total violent Criminal Code violations [100]  (16),Actual incidents,138901,145121,156880,154490,146592,139017,136453,136966,140142,138969,135290,131493,130456,126908,121840,112863,107497,108353
"Ontario (7,67)",Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",1221.97,1261.22,1342.53,1298.6,1212.4,1135.55,1101.26,1093.24,1106.83,1088.74,1050.17,1011.66,993.19,956.82,908.61,832.88,785.93,785.62
"Ontario (7,67)",Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",582.09,576.91,634.39,650.96,623.1,557.86,556.52,578.82,575.12,563.74,553.83,545.55,521.94,502.75,482.15,443.98,418.86,419.25
"Ontario (7,67)",Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",526.05,517.64,565.9,584.63,563.58,512.45,513.55,535.13,534.9,518.14,513.55,509.9,493.06,474.99,460.66,428.58,405.87,409.47
"Ontario (7,67)",Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1112.06,1136.66,1282.6,1280.7,1186.17,987.71,963.93,994.16,959.82,1004.53,949.89,903.29,818.36,795.06,715.98,618.4,571.17,536.88
"Ontario (7,67)",Total property crime violations [200] ,Actual incidents,550400,512017,499099,490770,490774,493301,462529,444489,464161,437687,419732,415051,389783,366015,354549,319538,310639,314915
"Ontario (7,67)",Total property crime violations [200] ,"Rate per 100,000 population",4842.08,4449.86,4271.14,4125.27,4058.99,4029.49,3732.9,3547.83,3665.91,3429.02,3258.12,3193.27,2967.5,2759.56,2644,2358.04,2271.14,2283.31
"Ontario (7,67)",Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",744.85,663.61,647.65,633.43,626.1,546.79,537.79,540.32,539.16,522.16,517,514.46,482.58,448.02,428.48,403.27,386.49,378.94
"Ontario (7,67)",Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",578.63,519.87,497.64,488.28,494.93,468.65,471.18,476.08,478.82,461.31,462.47,463.91,444.31,417.48,405.91,390.79,376.16,369.58
"Ontario (7,67)",Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2316.88,2021.09,2067.48,2011.52,1866.83,1286.36,1169.3,1151.05,1116.38,1110.43,1053.21,1021.73,875.43,769.57,674.06,544.57,507.72,491.56
"Ontario (7,67)",Total other Criminal Code violations [300] ,Actual incidents,108532,89151,92129,89469,85057,79328,76127,77201,79313,76456,75089,69349,71048,67780,66999,65627,65158,65927
"Ontario (7,67)",Total other Criminal Code violations [300] ,"Rate per 100,000 population",954.8,774.8,788.41,752.05,703.47,647.98,614.39,616.2,626.41,598.99,582.87,533.55,540.9,511.02,499.64,484.3,476.38,478.01
